Company Name,Sales 5 quarter old,Sales 4 quarter old,Sales 3 quarter old,Sales 2 quarter old,Sales 1 quarter old,Expense 5 quarter old,Expense 4 quarter old,Expense 3 quarter old,Expense 2 quarter old,Expense 1 quarter old,Operating Profit 5 quarter old ,Operating Profit 4 quarter old ,Operating Profit 3 quarter old ,Operating Profit 2 quarter old ,Operating Profit 1 quarter old ,OPM 5 quarter old,OPM 4 quarter old,OPM 3 quarter old,OPM 2 quarter old,OPM 1 quarter old,Other Income 5 quarter old,Other Income 4 quarter old,Other Income 3 quarter old,Other Income 2 quarter old,Other Income 1 quarter old,Interest 5 quarter old,Interest 4 quarter old,Interest 3 quarter old,Interest 2 quarter old,Interest 1 quarter old,Depreciation 5 quarter old,Depreciation 4 quarter old,Depreciation 3 quarter old,Depreciation 2 quarter old,Depreciation 1 quarter old,Profit before tax 5 quarter old,Profit before tax 4 quarter old,Profit before tax 3 quarter old,Profit before tax 2 quarter old,Profit before tax 1 quarter old,Tax 5 quarter old,Tax 4 quarter old,Tax 3 quarter old,Tax 2 quarter old,Tax 1 quarter old,Net Profit 5 quarter old,Net Profit 4 quarter old,Net Profit 3 quarter old,Net Profit 2 quarter old,Net Profit 1 quarter old,EPS 5 quarter old,EPS 4 quarter old,EPS 3 quarter old,EPS 2 quarter old,EPS 1 quarter old,Change in price
Kwality Pharmaceuticals Ltd,64.04,70.22,55.96,56.01,68.80,47.81,52.20,40.39,40.84,57.28,16.23,18.02,15.57,15.17,11.52,25.34%,25.66%,27.82%,27.08%,16.74%,1.60,0.38,0.75,0.35,-15.07,1.03,1.22,1.18,1.95,1.67,2.75,3.13,3.83,3.54,4.42,14.05,14.05,11.31,10.03,-9.64,25.27%,24.91%,20.07%,27.92%,23.65%,10.51,10.55,9.05,7.23,-7.36,10.13,10.17,8.72,6.97,-7.09,-8.19
Alufluoride Ltd,28.87,26.91,35.86,38.01,35.33,25.50,22.44,29.40,28.64,27.22,3.37,4.47,6.46,9.37,8.11,11.67%,16.61%,18.01%,24.65%,22.95%,0.17,0.24,0.21,0.33,0.37,0.70,0.65,0.65,0.82,0.77,1.71,1.66,1.73,2.07,1.96,1.13,2.40,4.29,6.81,5.75,22.12%,27.92%,22.84%,31.57%,27.48%,0.88,1.74,3.32,4.66,4.17,1.13,2.22,4.25,5.96,5.33,17.30
Variman Global Enterprises Ltd,23.46,39.27,27.50,21.75,27.54,24.06,38.14,27.13,21.95,28.06,-0.60,1.13,0.37,-0.20,-0.52,-2.56%,2.88%,1.35%,-0.92%,-1.89%,1.06,0.67,0.66,0.92,1.77,0.53,0.41,0.60,0.36,0.86,0.00,0.06,0.06,0.00,0.14,-0.07,1.33,0.37,0.36,0.25,-257.14%,25.56%,16.22%,47.22%,-16.00%,-0.26,0.99,0.32,0.19,0.29,-0.01,0.05,0.02,0.01,0.01,-6.51
Commercial Syn Bags Ltd,96.68,92.69,73.05,64.99,60.75,87.98,85.60,69.90,60.77,54.78,8.70,7.09,3.15,4.22,5.97,9.00%,7.65%,4.31%,6.49%,9.83%,1.49,0.80,0.49,0.97,0.47,1.26,1.20,1.24,1.44,1.46,2.08,2.03,2.06,2.02,2.25,6.85,4.66,0.34,1.73,2.73,20.29%,10.30%,88.24%,13.87%,13.19%,5.45,4.18,0.04,1.50,2.38,1.47,1.10,0.01,0.38,0.60,-21.91
Nandan Denim Ltd,721.20,779.78,527.59,262.24,457.16,689.11,741.84,504.53,262.27,433.77,32.09,37.94,23.06,-0.03,23.39,4.45%,4.87%,4.37%,-0.01%,5.12%,6.49,3.43,0.64,1.72,5.83,7.49,11.79,12.91,11.31,17.37,12.08,13.33,7.62,8.11,8.13,19.01,16.25,3.17,-17.73,3.72,18.78%,35.02%,81.39%,24.53%,18.28%,15.43,10.56,0.59,-13.38,3.03,1.07,0.73,0.04,-0.93,0.21,6.25
Kings Infra Ventures Ltd,12.32,11.20,14.14,15.11,20.44,10.64,9.22,11.90,12.60,16.84,1.68,1.98,2.24,2.51,3.60,13.64%,17.68%,15.84%,16.61%,17.61%,0.05,0.04,0.05,0.14,0.11,0.59,0.61,0.53,0.63,0.83,0.07,0.07,0.07,0.07,0.07,1.07,1.34,1.69,1.95,2.81,27.10%,26.12%,25.44%,25.64%,25.62%,0.78,0.99,1.27,1.45,2.09,0.33,0.42,0.54,0.62,0.89,25.87
Modi Naturals Ltd,143.52,100.11,93.36,114.07,110.42,142.16,95.49,91.48,113.19,112.57,1.36,4.62,1.88,0.88,-2.15,0.95%,4.61%,2.01%,0.77%,-1.95%,0.79,0.45,0.17,0.11,1.00,0.88,1.20,0.65,0.59,1.10,0.30,0.38,0.38,0.39,0.41,0.97,3.49,1.02,0.01,-2.66,58.76%,25.21%,24.51%,0.00%,12.78%,0.41,2.61,0.76,0.01,-2.32,0.32,2.06,0.60,0.01,-1.83,-3.31
Mangalam Global Enterprise Ltd,570.64,238.13,166.78,530.27,277.81,564.23,244.35,169.84,522.16,265.19,6.41,-6.22,-3.06,8.11,12.62,1.12%,-2.61%,-1.83%,1.53%,4.54%,1.90,5.65,10.59,1.00,1.39,2.48,2.44,2.91,3.24,3.50,0.77,0.72,0.73,0.72,0.86,5.06,-3.73,3.89,5.15,9.65,25.10%,25.20%,26.22%,26.21%,16.89%,3.80,-2.80,2.88,3.80,8.02,0.29,-0.22,0.22,0.27,0.58,32.47
Essar Shipping Ltd,15.00,16.00,17.00,14.00,15.00,20.00,6.00,9.00,8.00,5.00,-5.00,9.00,7.00,7.00,10.00,-33%,60%,44%,48%,65%,323.00,55.00,21.00,1361.00,328.00,71.00,68.00,75.00,32.00,-44.00,15.00,12.00,13.00,13.00,4.00,232.00,-16.00,-60.00,1323.00,378.00,0%,0%,28%,-1%,0%,226.00,-16.00,-40.00,1343.00,365.00,10.89,-0.76,-1.96,64.89,17.62,2.17
Bafna Pharmaceuticals Ltd,14.98,16.93,21.96,34.22,42.24,15.36,15.27,19.42,31.18,34.62,-0.38,1.66,2.54,3.04,7.62,-2.54%,9.81%,11.57%,8.88%,18.04%,1.04,1.30,0.64,1.93,0.26,0.21,0.31,0.45,0.58,0.70,1.40,1.29,1.12,1.40,1.53,-0.95,1.36,1.61,2.99,5.65,0.00%,0.00%,0.00%,0.00%,4.96%,-0.95,1.36,1.61,3.00,5.37,-0.40,0.57,0.68,1.27,2.27,34.22
Milkfood Ltd,92.97,80.15,103.40,150.40,133.45,88.93,79.43,96.68,142.58,124.93,4.04,0.72,6.72,7.82,8.52,4.35%,0.90%,6.50%,5.20%,6.38%,0.01,0.08,3.24,0.37,0.14,1.71,1.75,2.06,2.65,3.30,1.77,1.49,1.54,1.68,1.65,0.57,-2.44,6.36,3.86,3.71,-207.02%,25.00%,22.48%,15.28%,8.63%,1.75,-1.83,4.93,3.27,3.39,3.58,-3.75,10.09,6.69,6.94,-9.27
Equippp Social Impact Technologies Ltd,0.00,0.00,0.60,0.60,0.30,0.31,0.07,0.42,0.35,0.08,-0.31,-0.07,0.18,0.25,0.22,,,30.00%,41.67%,73.33%,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.03,0.02,0.02,0.18,0.18,0.19,0.19,-0.32,-0.49,-0.25,-0.04,0.04,0.53,0.00%,0.00%,0.00%,0.00%,0.00%,-0.49,-0.25,-0.04,0.04,0.53,-0.05,-0.02,0.00,0.00,0.05,-26.17
J L Morison (India) Ltd,31.84,33.40,36.74,35.74,38.88,30.03,31.70,34.57,33.54,36.96,1.81,1.70,2.17,2.20,1.92,5.68%,5.09%,5.91%,6.16%,4.94%,0.48,0.48,0.52,0.45,5.20,0.01,0.01,0.01,0.01,0.01,0.22,0.23,0.24,0.24,0.23,2.06,1.94,2.44,2.40,6.88,27.67%,24.74%,24.59%,22.92%,20.49%,1.49,1.45,1.84,1.85,5.49,10.92,10.62,13.48,13.55,40.22,9.59
Multibase India Ltd,18.81,18.20,18.98,16.99,18.04,15.95,16.97,17.72,15.08,12.81,2.86,1.23,1.26,1.91,5.23,15.20%,6.76%,6.64%,11.24%,28.99%,0.84,0.88,1.18,0.88,1.65,0.06,0.00,0.00,0.00,0.05,0.23,0.28,0.27,0.29,0.16,3.41,1.83,2.17,2.50,6.67,27.27%,25.14%,26.73%,25.20%,25.64%,2.47,1.37,1.58,1.87,4.96,1.96,1.09,1.25,1.48,3.93,16.23
Star Paper Mills Ltd,113.00,119.00,134.00,116.00,123.00,103.00,103.00,110.00,91.00,109.00,10.00,16.00,24.00,25.00,15.00,9%,13%,18%,22%,12%,8.00,4.00,3.00,-6.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,17.00,18.00,26.00,18.00,21.00,-5%,15%,18%,30%,23%,18.00,15.00,21.00,13.00,16.00,11.41,9.79,13.58,8.16,10.54,13.14
Rajoo Engineers Ltd,59.89,18.21,33.63,36.57,71.43,51.58,17.39,30.04,33.42,64.94,8.31,0.82,3.59,3.15,6.49,13.88%,4.50%,10.67%,8.61%,9.09%,1.52,1.07,0.44,0.65,0.57,0.05,0.04,0.07,0.07,0.14,0.84,0.84,0.86,0.87,0.90,8.94,1.01,3.10,2.86,6.02,20.47%,25.74%,25.16%,19.58%,22.92%,7.10,0.75,2.32,2.31,4.64,1.15,0.12,0.38,0.38,0.75,71.67
